Thk_dec_in,Thk_frac_in,W_dec_in,W_frac_in
0.1250, 1/8 ,0.1250, 1/8 
0.1250, 1/8 ,0.1875, 3/16
0.1250, 1/8 ,0.2500, 1/4 
0.1250, 1/8 ,0.3125, 5/16
0.1250, 1/8 ,0.3750, 3/8 
0.1250, 1/8 ,0.4375, 7/16
0.1250, 1/8 ,0.5000, 1/2 
0.1250, 1/8 ,0.5625, 9/16
0.1250, 1/8 ,0.6250, 5/8 
0.1250, 1/8 ,0.7500, 3/4 
0.1250, 1/8 ,0.8750, 7/8 
0.1250, 1/8 ,0.9375,15/16
0.1250, 1/8 ,1.0000,1
0.1250, 1/8 ,1.1250,1  1/8 
0.1250, 1/8 ,1.2500,1  1/4 
0.1250, 1/8 ,1.5000,1  1/2 
0.1250, 1/8 ,1.7500,1  3/4 
0.1250, 1/8 ,2.0000,2
0.1250, 1/8 ,2.2500,2  1/4 
0.1250, 1/8 ,2.5000,2  1/2 
0.1250, 1/8 ,2.7500,2  3/4 
0.1250, 1/8 ,3.0000,3
0.1250, 1/8 ,3.2500,3  1/4 
0.1250, 1/8 ,3.5000,3  1/2 
0.1250, 1/8 ,3.7500,3  3/4 
0.1250, 1/8 ,4.0000,4
0.1250, 1/8 ,4.2500,4  1/4 
0.1250, 1/8 ,4.5000,4  1/2 
0.1250, 1/8 ,4.7500,4  3/4 
0.1250, 1/8 ,5.0000,5
0.1250, 1/8 ,5.5000,5  1/2 
0.1250, 1/8 ,6.0000,6
0.1250, 1/8 ,7.0000,7
0.1250, 1/8 ,8.0000,8
0.1250, 1/8 ,9.0000,9
0.1250, 1/8 ,10.0000,10
0.1250, 1/8 ,11.0000,11
0.1250, 1/8 ,12.0000,12
0.1875, 3/16,0.1875, 3/16
0.1875, 3/16,0.2500, 1/4 
0.1875, 3/16,0.3125, 5/16
0.1875, 3/16,0.3750, 3/8 
0.1875, 3/16,0.4375, 7/16
0.1875, 3/16,0.5000, 1/2 
0.1875, 3/16,0.5625, 9/16
0.1875, 3/16,0.6250, 5/8 
0.1875, 3/16,0.6875,11/16
0.1875, 3/16,0.7500, 3/4 
0.1875, 3/16,0.8125,13/16
0.1875, 3/16,0.8750, 7/8 
0.1875, 3/16,0.9375,15/16
0.1875, 3/16,1.0000,1
0.1875, 3/16,1.1250,1  1/8 
0.1875, 3/16,1.2500,1  1/4 
0.1875, 3/16,1.3750,1  3/8 
0.1875, 3/16,1.5000,1  1/2 
0.1875, 3/16,1.6250,1  5/8 
0.1875, 3/16,1.7500,1  3/4 
0.1875, 3/16,1.8750,1  7/8 
0.1875, 3/16,2.0000,2
0.1875, 3/16,2.1250,2  1/8 
0.1875, 3/16,2.2500,2  1/4 
0.1875, 3/16,2.5000,2  1/2 
0.1875, 3/16,2.7500,2  3/4 
0.1875, 3/16,3.0000,3
0.1875, 3/16,3.2500,3  1/4 
0.1875, 3/16,3.5000,3  1/2 
0.1875, 3/16,3.7500,3  3/4 
0.1875, 3/16,4.0000,4
0.1875, 3/16,4.2500,4  1/4 
0.1875, 3/16,4.5000,4  1/2 
0.1875, 3/16,4.7500,4  3/4 
0.1875, 3/16,5.0000,5
0.1875, 3/16,5.5000,5  1/2 
0.1875, 3/16,6.0000,6
0.1875, 3/16,7.0000,7
0.1875, 3/16,8.0000,8
0.1875, 3/16,9.0000,9
0.1875, 3/16,10.0000,10
0.1875, 3/16,11.0000,11
0.1875, 3/16,12.0000,12
0.2500, 1/4 ,0.2500, 1/4 
0.2500, 1/4 ,0.3125, 5/16
0.2500, 1/4 ,0.3750, 3/8 
0.2500, 1/4 ,0.4375, 7/16
0.2500, 1/4 ,0.5000, 1/2 
0.2500, 1/4 ,0.5625, 9/16
