Dia (dec_in),Dia (frac_in)
0.1250, 1/8 
0.1563, 5/32
0.1875, 3/16
0.2188, 7/32
0.2500, 1/4 
0.2813, 9/32
0.3125, 5/16
0.3438,11/32
0.3750, 3/8 
0.4063,13/32
0.4375, 7/16
0.4688,15/32
0.5000, 1/2 
0.5313,17/32
0.5625, 9/16
0.5938,19/32
0.6250, 5/8 
0.6563,21/32
0.6875,11/16
0.7188,23/32
0.7500, 3/4 
0.7813,25/32
0.8125,13/16
0.8438,27/32
0.8750, 7/8 
0.9063,29/32
0.9375,15/16
0.9688,31/32
1.0000,1
1.0625,1  1/16
1.1250,1  1/8 
1.1875,1  3/16
1.2500,1  1/4 
1.3125,1  5/16
1.3750,1  3/8 
1.4375,1  7/16
1.5000,1  1/2 
1.5625,1  9/16
1.6250,1  5/8 
1.6875,1 11/16
1.7500,1  3/4 
1.8125,1 13/16
1.8750,1  7/8 
1.9375,1 15/16
2.0000,2
2.0625,2  1/16
2.1250,2  1/8 
2.1875,2  3/16
2.2500,2  1/4 
2.3125,2  5/16
2.3750,2  3/8 
2.4375,2  7/16
2.5000,2  1/2 
2.5625,2  9/16
2.6250,2  5/8 
2.6875,2 11/16
2.7500,2  3/4 
2.8125,2 13/16
2.8750,2  7/8 
2.9375,2 15/16
3.0000,3
3.0625,3  1/16
3.1250,3  1/8 
3.1875,3  3/16
3.2500,3  1/4 
3.3750,3  3/8 
3.4375,3  7/16
3.5000,3  1/2 
3.6250,3  5/8 
3.7500,3  3/4 
3.8750,3  7/8 
3.9375,3 15/16
4.0000,4
4.1250,4  1/8 
4.2500,4  1/4 
4.3750,4  3/8 
4.4375,4  7/16
4.5000,4  1/2 
4.6250,4  5/8 
4.7500,4  3/4 
4.8750,4  7/8 
4.9375,4 15/16
5.0000,5
5.1250,5  1/8 
5.2500,5  1/4 
5.4375,5  7/16
5.5000,5  1/2 
5.7500,5  3/4 
6.0000,6
6.2500,6  1/4 
6.5000,6  1/2 
6.7500,6  3/4 
7.0000,7
7.2500,7  1/4 
7.5000,7  1/2 
7.7500,7  3/4 
8.0000,8
8.5000,8  1/2 
9.0000,9
9.5000,9  1/2 
10.0000,10
10.5000,10  1/2 
11.0000,11
11.5000,11  1/2 
12.0000,12
12.5000,12  1/2 
13.0000,13
13.5000,13  1/2 
14.0000,14
14.5000,14  1/2 
15.0000,15
15.5000,15  1/2 
16.0000,16
16.5000,16  1/2 
17.0000,17
18.0000,18
19.0000,19
20.0000,20
22.0000,22
24.0000,24
26.0000,26
28.0000,28
30.0000,30
32.0000,32
